wavenumber,PP
973,0.0008334640
974,0.0007792370
975,0.0007821000
976,0.0006922470
977,0.0005808920
978,0.0005560220
979,0.0005311530
980,0.0004814130
981,0.0004814130
982,0.0003885880
983,0.0003329920
984,0.0003358750
985,0.0003127570
986,0.0003289000
987,0.0003481260
988,0.0003685300
989,0.0003975090
990,0.0004318730
991,0.0004805980
992,0.0005495520
993,0.0006354640
994,0.0007234180
995,0.0007953030
996,0.0008333070
997,0.0008264100
998,0.0007761550
999,0.0006971560
1000,0.0006109110
1001,0.0005332650
1002,0.0004706540
1003,0.0004241740
1004,0.0003908130
1005,0.0003667450
1006,0.0003492170
1007,0.0003382740
1008,0.0003343540
1009,0.0003344360
1010,0.0003348110
1011,0.0003335900
1012,0.0003314070
1013,0.0003294780
1014,0.0003287190
1015,0.0003297480
1016,0.0003320430
1017,0.0003333170
1018,0.0003316690
1019,0.0003259900
1020,0.0003168590
1021,0.0003050800
1022,0.0002922380
1023,0.0002799780
1024,0.0002693910
1025,0.0002606140
1026,0.0002534430
1027,0.0002471670
1028,0.0002413260
1029,0.0002360560
1030,0.0002322020
1031,0.0002300570
1032,0.0002288520
1033,0.0002273800
1034,0.0002248860
1035,0.0002210770
1036,0.0002171240
1037,0.0002153740
1038,0.0002173920
1039,0.0002229250
1040,0.0002299870
1041,0.0002359200
1042,0.0002384840
1043,0.0002361620
1044,0.0002297860
1045,0.0002213260
1046,0.0002119510
1047,0.0002024540
1048,0.0001933420
1049,0.0001847560
1050,0.0001766000
1051,0.0001687560
1052,0.0001619530
1053,0.0001564040
1054,0.0001516350
1055,0.0001472340
1056,0.0001430630
1057,0.0001389950
1058,0.0001349850
1059,0.0001314890
1060,0.0001293200
1061,0.0001285530
1062,0.0001291480
1063,0.0001303480
1064,0.0001317110
1065,0.0001328600
1066,0.0001336510
1067,0.0001346960
1068,0.0001365190
1069,0.0001390590
1070,0.0001420710
1071,0.0001445530
1072,0.0001462540
1073,0.0001470960
1074,0.0001472860
1075,0.0001479700
1076,0.0001500220
1077,0.0001539250
1078,0.0001593850
1079,0.0001658240
1080,0.0001728290
1081,0.0001797370
1082,0.0001855840
1083,0.0001901430
1084,0.0001938860
1085,0.0001977320
1086,0.0002019550
1087,0.0002071970
1088,0.0002141830
1089,0.0002235470
1090,0.0002353360
1091,0.0002495840
1092,0.0002674340
1093,0.0002897380
1094,0.0003153570
1095,0.0003421760
1096,0.0003669210
1097,0.0003865720
1098,0.0003990690
1099,0.0004035370
1100,0.0004017980
1101,0.0003965260
1102,0.0003895390
1103,0.0003816630
1104,0.0003714650
1105,0.0003580880
1106,0.0003416560
1107,0.0003225860
1108,0.0003024880
1109,0.0002828880
1110,0.0002648340
1111,0.0002484460
1112,0.0002321730
1113,0.0002157460
1114,0.0001997390
1115,0.0001848120
1116,0.0001719660
1117,0.0001614910
1118,0.0001534100
1119,0.0001470850
1120,0.0001410100
1121,0.0001346980
1122,0.0001282040
1123,0.0001220010
1124,0.0001169690
1125,0.0001134850
1126,0.0001118290
1127,0.0001117020
1128,0.0001121070
1129,0.0001125930
1130,0.0001126670
1131,0.0001122770
1132,0.0001118400
1133,0.0001118650
1134,0.0001132330
1135,0.0001167290
1136,0.0001226260
1137,0.0001313330
1138,0.0001425990
1139,0.0001557520
1140,0.0001702300
1141,0.0001851990
1142,0.0002004630
1143,0.0002158140
1144,0.0002311040
1145,0.0002468660
1146,0.0002637750
1147,0.0002817430
1148,0.0003004840
1149,0.0003182520
1150,0.0003335150
1151,0.0003449820
1152,0.0003525270
1153,0.0003568380
1154,0.0003600220
1155,0.0003641500
1156,0.0003708130
1157,0.0003800230
1158,0.0003915560
1159,0.0004062330
1160,0.0004247400
1161,0.0004463570
1162,0.0004709030
1163,0.0004972130
1164,0.0005217020
1165,0.0005393960
1166,0.0005449260
1167,0.0005355110
1168,0.0005097940
1169,0.0004687810
1170,0.0004173940
1171,0.0003621150
1172,0.0003085570
1173,0.0002614940
1174,0.0002232440
1175,0.0001951160
1176,0.0001762000
1177,0.0001646800
1178,0.0001587090
1179,0.0001559080
1180,0.0001538520
1181,0.0001510620
1182,0.0001469560
1183,0.0001426910
1184,0.0001390940
1185,0.0001369540
1186,0.0001369620
1187,0.0001387130
1188,0.0001413020
1189,0.0001437460
1190,0.0001456770
1191,0.0001473960
1192,0.0001483970
1193,0.0001485260
1194,0.0001483620
1195,0.0001479920
1196,0.0001477320
1197,0.0001475510
1198,0.0001475510
1199,0.0001477950
1200,0.0001481080
1201,0.0001486380
1202,0.0001500310
1203,0.0001521780
1204,0.0001551520
1205,0.0001581820
1206,0.0001606750
1207,0.0001625520
1208,0.0001644170
1209,0.0001669650
1210,0.0001712720
1211,0.0001776900
1212,0.0001867450
1213,0.0001978220
1214,0.0002101180
1215,0.0002226310
1216,0.0002337120
1217,0.0002409610
1218,0.0002425890
1219,0.0002375740
1220,0.0002268290
1221,0.0002117160
1222,0.0001947860
1223,0.0001787530
1224,0.0001651760
1225,0.0001544310
1226,0.0001461500
1227,0.0001398330
1228,0.0001350770
1229,0.0001310230
1230,0.0001276890
1231,0.0001253720
1232,0.0001242180
1233,0.0001241350
1234,0.0001245520
1235,0.0001251410
1236,0.0001251700
1237,0.0001240360
1238,0.0001219710
1239,0.0001197680
1240,0.0001185760
1241,0.0001191940
1242,0.0001217390
1243,0.0001258880
1244,0.0001305080
1245,0.0001347890
1246,0.0001387610
1247,0.0001433500
1248,0.0001502670
1249,0.0001607580
1250,0.0001749290
1251,0.0001913810
1252,0.0002074960
1253,0.0002209580
1254,0.0002301910
1255,0.0002349180
1256,0.0002362260
1257,0.0002353600
1258,0.0002329910
1259,0.0002289350
1260,0.0002227510
1261,0.0002142170
1262,0.0002030150
1263,0.0001895790
1264,0.0001749190
1265,0.0001602070
1266,0.0001462470
1267,0.0001337880
1268,0.0001239310
1269,0.0001171810
1270,0.0001132330
1271,0.0001115270
1272,0.0001111020
1273,0.0001112190
1274,0.0001109180
1275,0.0001099040
1276,0.0001087060
1277,0.0001078250
1278,0.0001074710
1279,0.0001075770
1280,0.0001077970
1281,0.0001083400
1282,0.0001090360
1283,0.0001100030
1284,0.0001117910
1285,0.0001151780
1286,0.0001207530
1287,0.0001288220
1288,0.0001393440
1289,0.0001523020
1290,0.0001664200
1291,0.0001798810
1292,0.0001910280
1293,0.0001987200
1294,0.0002026500
1295,0.0002033410
1296,0.0002021930
1297,0.0002009770
1298,0.0002005520
1299,0.0002011370
1300,0.0002022330
1301,0.0002025780
1302,0.0002007390
1303,0.0001957370
1304,0.0001874180
1305,0.0001763990
1306,0.0001637780
1307,0.0001509390
1308,0.0001392080
1309,0.0001292060
1310,0.0001211260
1311,0.0001150210
1312,0.0001106540
1313,0.0001078130
1314,0.0001060440
1315,0.0001047630
1316,0.0001039350
1317,0.0001032680
1318,0.0001029780
1319,0.0001038770
1320,0.0001071970
1321,0.0001138600
1322,0.0001238280
1323,0.0001364680
1324,0.0001507130
1325,0.0001642970
1326,0.0001750520
1327,0.0001814170
1328,0.0001831110
1329,0.0001799050
1330,0.0001723420
1331,0.0001623900
1332,0.0001516080
1333,0.0001411610
1334,0.0001324240
1335,0.0001250080
1336,0.0001206080
1337,0.0001183030
1338,0.0001183860
1339,0.0001184690
1340,0.0001186350
1341,0.0001186350
1342,0.0001217900
1343,0.0001274550
1344,0.0001377450
1345,0.0001475640
1346,0.0001631450
1347,0.0001833120
1348,0.0002083750
1349,0.0002396670
1350,0.0002777150
1351,0.0003229860
1352,0.0003756630
1353,0.0004345070
1354,0.0004952530
1355,0.0005509480
1356,0.0005935250
1357,0.0006163980
1358,0.0006166590
1359,0.0005966810
1360,0.0005641750
1361,0.0005284450
1362,0.0004977670
1363,0.0004768530
1364,0.0004694420
1365,0.0004818220
1366,0.0005236410
1367,0.0006087170
1368,0.0007523060
1369,0.0009635030
1370,0.0012422130
1371,0.0015699190
1372,0.0019165520
1373,0.0022457960
1374,0.0025156200
1375,0.0026880330
1376,0.0027381030
1377,0.0026573350
1378,0.0024587750
1379,0.0021652970
1380,0.0018176200
1381,0.0014616180
1382,0.0011340770
1383,0.0008604640
1384,0.0006528000
1385,0.0005095790
1386,0.0004197570
1387,0.0003630470
1388,0.0003262350
1389,0.0002983350
1390,0.0002730450
1391,0.0002495680
1392,0.0002295310
1393,0.0002149850
1394,0.0002058080
1395,0.0002002290
1396,0.0001975650
1397,0.0001952090
1398,0.0001920570
1399,0.0001875200
1400,0.0001812550
1401,0.0001734210
1402,0.0001642880
1403,0.0001553120
1404,0.0001479920
1405,0.0001431450
1406,0.0001415100
1407,0.0001426890
1408,0.0001456620
1409,0.0001494690
1410,0.0001533120
1411,0.0001569540
1412,0.0001601540
1413,0.0001628710
1414,0.0001653550
1415,0.0001673030
1416,0.0001684930
1417,0.0001694930
1418,0.0001708550
1419,0.0001733150
1420,0.0001765830
1421,0.0001808820
1422,0.0001866830
1423,0.0001939610
1424,0.0002036440
1425,0.0002185270
1426,0.0002423330
1427,0.0002788180
1428,0.0003287820
1429,0.0003915310
1430,0.0004626690
1431,0.0005334290
1432,0.0005945790
1433,0.0006391030
1434,0.0006637830
1435,0.0006703280
1436,0.0006646670
1437,0.0006568630
1438,0.0006560860
1439,0.0006681320
1440,0.0006970380
1441,0.0007440900
1442,0.0008070170
1443,0.0008833130
1444,0.0009717210
1445,0.0010698730
1446,0.0011731660
1447,0.0012760410
1448,0.0013741400
1449,0.0014618420
1450,0.0015314220
1451,0.0015792620
1452,0.0016063740
1453,0.0016151040
1454,0.0016121740
1455,0.0016082430
1456,0.0016132210
1457,0.0016299590
1458,0.0016532720
1459,0.0016742880
1460,0.0016823250
1461,0.0016679680
1462,0.0016285040
1463,0.0015665100
1464,0.0014858660
1465,0.0013905080
1466,0.0012837530
1467,0.0011685160
1468,0.0010483280
1469,0.0009282010
1470,0.0008135430
1471,0.0007078660
1472,0.0006128540
1473,0.0005297180
1474,0.0004581050
1475,0.0003972180
1476,0.0003463820
1477,0.0003046150
1478,0.0002703620
1479,0.0002415860
1480,0.0002166700
1481,0.0001947340
1482,0.0001749460
1483,0.0001576590
1484,0.0001433730
1485,0.0001319810
1486,0.0001234060
1487,0.0001173640
1488,0.0001131440
1489,0.0001102100
1490,0.0001079510
1491,0.0001062280
1492,0.0001048600
1493,0.0001033640
1494,0.0001016490
1495,0.0000997000
1496,0.0000974000
1497,0.0000952000
1498,0.0000934000
1499,0.0000924000
1500,0.0000924000
1501,0.0000933000
1502,0.0000947000
1503,0.0000958000
1504,0.0000960000
1505,0.0000948000
1506,0.0000925000
1507,0.0000895000
1508,0.0000866000
1509,0.0000845000
1510,0.0000835000
1511,0.0000837000
1512,0.0000845000
1513,0.0000854000
1514,0.0000861000
1515,0.0000863000
1516,0.0000859000
1517,0.0000851000
1518,0.0000838000
1519,0.0000822000
1520,0.0000806000
1521,0.0000790000
1522,0.0000781000
1523,0.0000783000
1524,0.0000795000
1525,0.0000814000
1526,0.0000836000
1527,0.0000853000
1528,0.0000860000
1529,0.0000854000
1530,0.0000842000
1531,0.0000827000
1532,0.0000818000
1533,0.0000818000
1534,0.0000830000
1535,0.0000849000
1536,0.0000868000
1537,0.0000876000
1538,0.0000870000
1539,0.0000852000
1540,0.0000827000
1541,0.0000804000
1542,0.0000788000
1543,0.0000783000
1544,0.0000787000
1545,0.0000795000
1546,0.0000803000
1547,0.0000808000
1548,0.0000809000
1549,0.0000807000
1550,0.0000804000
1551,0.0000803000
1552,0.0000804000
1553,0.0000805000
1554,0.0000803000
1555,0.0000798000
1556,0.0000789000
1557,0.0000781000
1558,0.0000777000
1559,0.0000778000
1560,0.0000785000
1561,0.0000795000
1562,0.0000803000
1563,0.0000807000
1564,0.0000809000
1565,0.0000810000
1566,0.0000814000
1567,0.0000821000
1568,0.0000830000
1569,0.0000835000
1570,0.0000831000
1571,0.0000819000
1572,0.0000802000
1573,0.0000784000
1574,0.0000771000
1575,0.0000769000
1576,0.0000776000
1577,0.0000786000
1578,0.0000796000
1579,0.0000803000
1580,0.0000808000
1581,0.0000811000
1582,0.0000816000
1583,0.0000827000
1584,0.0000840000
1585,0.0000853000
1586,0.0000864000
1587,0.0000872000
1588,0.0000876000
1589,0.0000878000
1590,0.0000880000
1591,0.0000883000
1592,0.0000886000
1593,0.0000889000
1594,0.0000892000
1595,0.0000893000
1596,0.0000892000
1597,0.0000891000
1598,0.0000890000
1599,0.0000892000
1600,0.0000897000
1601,0.0000905000
1602,0.0000914000
1603,0.0000922000
1604,0.0000928000
1605,0.0000934000
1606,0.0000941000
1607,0.0000949000
1608,0.0000958000
1609,0.0000965000
1610,0.0000968000
1611,0.0000965000
1612,0.0000956000
1613,0.0000944000
1614,0.0000933000
1615,0.0000924000
1616,0.0000917000
1617,0.0000914000
1618,0.0000913000
1619,0.0000916000
1620,0.0000918000
1621,0.0000923000
1622,0.0000929000
1623,0.0000932000
1624,0.0000933000
1625,0.0000932000
1626,0.0000932000
1627,0.0000936000
1628,0.0000943000
1629,0.0000955000
1630,0.0000966000
1631,0.0000970000
1632,0.0000962000
1633,0.0000942000
1634,0.0000913000
1635,0.0000885000
1636,0.0000865000
1637,0.0000861000
1638,0.0000871000
1639,0.0000892000
1640,0.0000916000
1641,0.0000934000
1642,0.0000942000
1643,0.0000940000
1644,0.0000926000
1645,0.0000915000
1646,0.0000905000
1647,0.0000904000
1648,0.0000938000
1649,0.0000947000
1650,0.0000995000
1651,0.0001055540
1652,0.0001070310
1653,0.0001085070
1654,0.0001114600
1655,0.0001114600
1656,0.0001175880
1657,0.0001225160
1658,0.0001248050
1659,0.0001295540
1660,0.0001316220
1661,0.0001325940
1662,0.0001323860
1663,0.0001305320
1664,0.0001277170
1665,0.0001245070
1666,0.0001220810
1667,0.0001208750
1668,0.0001211150
1669,0.0001224950
1670,0.0001247820
1671,0.0001274670
1672,0.0001296890
1673,0.0001309770
1674,0.0001312850
1675,0.0001303570
1676,0.0001284600
1677,0.0001260370
1678,0.0001241170
1679,0.0001234020
1680,0.0001239510
1681,0.0001252390
1682,0.0001267960
1683,0.0001276370
1684,0.0001272560
1685,0.0001258340
1686,0.0001242900
1687,0.0001235420
1688,0.0001242530
1689,0.0001262960
1690,0.0001292060
1691,0.0001318450
1692,0.0001332660
1693,0.0001333460
1694,0.0001320900
1695,0.0001300630
1696,0.0001283070
1697,0.0001273430
1698,0.0001274570
1699,0.0001286970
1700,0.0001306330
1701,0.0001328900
1702,0.0001344120
1703,0.0001349370
1704,0.0001345370
1705,0.0001334280
1706,0.0001324270
1707,0.0001323300
1708,0.0001333460
1709,0.0001352650
1710,0.0001372530
1711,0.0001388710
1712,0.0001393860
1713,0.0001389560
1714,0.0001386240
1715,0.0001389620
1716,0.0001404240
1717,0.0001429400
1718,0.0001459800
1719,0.0001488100
1720,0.0001503980
1721,0.0001506140
1722,0.0001499010
1723,0.0001482380
1724,0.0001461820
1725,0.0001441820
1726,0.0001424650
1727,0.0001411850
1728,0.0001404080
1729,0.0001403450
1730,0.0001411720
1731,0.0001427910
1732,0.0001451740
1733,0.0001480120
1734,0.0001506600
1735,0.0001526110
1736,0.0001535780
1737,0.0001535200
1738,0.0001526940
1739,0.0001517240
1740,0.0001512470
1741,0.0001515980
1742,0.0001529140
1743,0.0001552440
1744,0.0001584590
1745,0.0001620820
1746,0.0001651680
1747,0.0001668440
1748,0.0001665840
1749,0.0001640300
1750,0.0001597710
1751,0.0001548760
1752,0.0001506680
1753,0.0001483420
1754,0.0001482140
1755,0.0001499170
1756,0.0001528930
1757,0.0001563020
1758,0.0001595270
1759,0.0001620930
1760,0.0001638140
1761,0.0001651620
1762,0.0001662700
1763,0.0001667730
1764,0.0001666240
1765,0.0001659190
1766,0.0001644840
1767,0.0001625320
1768,0.0001602660
1769,0.0001584930
1770,0.0001574430
1771,0.0001568910
1772,0.0001568010
1773,0.0001574280
1774,0.0001584200
1775,0.0001597990
1776,0.0001612860
1777,0.0001627120
1778,0.0001635510
1779,0.0001635120
1780,0.0001626680
1781,0.0001618940
1782,0.0001612260
1783,0.0001608490
1784,0.0001607610
1785,0.0001605890
1786,0.0001598490
1787,0.0001585550
1788,0.0001571450
1789,0.0001566820
1790,0.0001570510
1791,0.0001580660
1792,0.0001598370
1793,0.0001617870
1794,0.0001633020
1795,0.0001641830
1796,0.0001645880
1797,0.0001648870
1798,0.0001644860
1799,0.0001629740
1800,0.0001610550
1801,0.0001588030
1802,0.0001564240
1803,0.0001545730
1804,0.0001538380
1805,0.0001544990
1806,0.0001558460
1807,0.0001571370
1808,0.0001585330
1809,0.0001594740
1810,0.0001595760
1811,0.0001591320
1812,0.0001582690
1813,0.0001577110
1814,0.0001575850
1815,0.0001578710
1816,0.0001590060
1817,0.0001605930
1818,0.0001621150
1819,0.0001632740
1820,0.0001634060
1821,0.0001631070
1822,0.0001624070
1823,0.0001614200
1824,0.0001607960
1825,0.0001607780
1826,0.0001616480
1827,0.0001635660
1828,0.0001656680
1829,0.0001676590
1830,0.0001687080
1831,0.0001683760
1832,0.0001669980
1833,0.0001650490
1834,0.0001635320
1835,0.0001634410
1836,0.0001644890
1837,0.0001663740
1838,0.0001683140
1839,0.0001697570
1840,0.0001703580
1841,0.0001693940
1842,0.0001673450
1843,0.0001650360
1844,0.0001629460
1845,0.0001632680
1846,0.0001656120
1847,0.0001715260
1848,0.0001820250
1849,0.0001820250
1850,0.0001820250
