wavenumber,PU
1019,0.0003533260
1020,0.0003526120
1021,0.0003495400
1022,0.0003447860
1023,0.0003393060
1024,0.0003336680
1025,0.0003289200
1026,0.0003253880
1027,0.0003230880
1028,0.0003224710
1029,0.0003234710
1030,0.0003253950
1031,0.0003276460
1032,0.0003300190
1033,0.0003321710
1034,0.0003342340
1035,0.0003364440
1036,0.0003387480
1037,0.0003409350
1038,0.0003430590
1039,0.0003449640
1040,0.0003469330
1041,0.0003490880
1042,0.0003513460
1043,0.0003537980
1044,0.0003564540
1045,0.0003592550
1046,0.0003622910
1047,0.0003654810
1048,0.0003688170
1049,0.0003724880
1050,0.0003768070
1051,0.0003816470
1052,0.0003873780
1053,0.0003938370
1054,0.0004004570
1055,0.0004070670
1056,0.0004132250
1057,0.0004183300
1058,0.0004220000
1059,0.0004243510
1060,0.0004262040
1061,0.0004281480
1062,0.0004305640
1063,0.0004338690
1064,0.0004384900
1065,0.0004440090
1066,0.0004504420
1067,0.0004575940
1068,0.0004641770
1069,0.0004692750
1070,0.0004731450
1071,0.0004762580
1072,0.0004791080
1073,0.0004820740
1074,0.0004855680
1075,0.0004900160
1076,0.0004957150
1077,0.0005029100
1078,0.0005115530
1079,0.0005199890
1080,0.0005264470
1081,0.0005305350
1082,0.0005321890
1083,0.0005308010
1084,0.0005262980
1085,0.0005193580
1086,0.0005105980
1087,0.0005012600
1088,0.0004932680
1089,0.0004880520
1090,0.0004861580
1091,0.0004872290
1092,0.0004914600
1093,0.0004987210
1094,0.0005077650
1095,0.0005172660
1096,0.0005267340
1097,0.0005355040
1098,0.0005431860
1099,0.0005503020
1100,0.0005572990
1101,0.0005645410
1102,0.0005726740
1103,0.0005812650
1104,0.0005900880
1105,0.0005986540
1106,0.0006059460
1107,0.0006118030
1108,0.0006166150
1109,0.0006198760
1110,0.0006219390
1111,0.0006231280
1112,0.0006236340
1113,0.0006243710
1114,0.0006251870
1115,0.0006248580
1116,0.0006232610
1117,0.0006202860
1118,0.0006149970
1119,0.0006080940
1120,0.0005998340
1121,0.0005896860
1122,0.0005784210
1123,0.0005668070
1124,0.0005554400
1125,0.0005448530
1126,0.0005345920
1127,0.0005249080
1128,0.0005159560
1129,0.0005073170
1130,0.0004983720
1131,0.0004898370
1132,0.0004811000
1133,0.0004717740
1134,0.0004626240
1135,0.0004537380
1136,0.0004445320
1137,0.0004350120
1138,0.0004254290
1139,0.0004160120
1140,0.0004062000
1141,0.0003961450
1142,0.0003860780
1143,0.0003764590
1144,0.0003673870
1145,0.0003592080
1146,0.0003522370
1147,0.0003460780
1148,0.0003403360
1149,0.0003353920
1150,0.0003312700
1151,0.0003274940
1152,0.0003239960
1153,0.0003211790
1154,0.0003190940
1155,0.0003172930
1156,0.0003165690
1157,0.0003165300
1158,0.0003169400
1159,0.0003176110
1160,0.0003182660
1161,0.0003191020
1162,0.0003199710
1163,0.0003204940
1164,0.0003205980
1165,0.0003202510
1166,0.0003195620
1167,0.0003184100
1168,0.0003173900
1169,0.0003166220
1170,0.0003165290
1171,0.0003171740
1172,0.0003186530
1173,0.0003214180
1174,0.0003255980
1175,0.0003309490
1176,0.0003371540
1177,0.0003437630
1178,0.0003505400
1179,0.0003570920
1180,0.0003631430
1181,0.0003686710
1182,0.0003734490
1183,0.0003772420
1184,0.0003804570
1185,0.0003836270
1186,0.0003871390
1187,0.0003915930
1188,0.0003973680
1189,0.0004047890
1190,0.0004143510
1191,0.0004261340
1192,0.0004401110
1193,0.0004559980
1194,0.0004731550
1195,0.0004912800
1196,0.0005097010
1197,0.0005277300
1198,0.0005451640
1199,0.0005616630
1200,0.0005768070
1201,0.0005906370
1202,0.0006032210
1203,0.0006145680
1204,0.0006246260
1205,0.0006333350
1206,0.0006409690
1207,0.0006478180
1208,0.0006533870
1209,0.0006582900
1210,0.0006630860
1211,0.0006678150
1212,0.0006730440
1213,0.0006792180
1214,0.0006863350
1215,0.0006944600
1216,0.0007033490
1217,0.0007124690
1218,0.0007216160
1219,0.0007302690
1220,0.0007376870
1221,0.0007444100
1222,0.0007502670
1223,0.0007552380
1224,0.0007596900
1225,0.0007636690
1226,0.0007672940
1227,0.0007709010
1228,0.0007743280
1229,0.0007769380
1230,0.0007787400
1231,0.0007791650
1232,0.0007777630
1233,0.0007743860
1234,0.0007680940
1235,0.0007582710
1236,0.0007443900
1237,0.0007263700
1238,0.0007047690
1239,0.0006806380
1240,0.0006552590
1241,0.0006301630
1242,0.0006071790
1243,0.0005877170
1244,0.0005733040
1245,0.0005642340
1246,0.0005602990
1247,0.0005610750
1248,0.0005653090
1249,0.0005719270
1250,0.0005798470
1251,0.0005881300
1252,0.0005960870
1253,0.0006025670
1254,0.0006065330
1255,0.0006077190
1256,0.0006059130
1257,0.0006004110
1258,0.0005918460
1259,0.0005807010
1260,0.0005672700
1261,0.0005526560
1262,0.0005378190
1263,0.0005238060
1264,0.0005114250
1265,0.0005006200
1266,0.0004917980
1267,0.0004852710
1268,0.0004806830
1269,0.0004777310
1270,0.0004765580
1271,0.0004764250
1272,0.0004768790
1273,0.0004774940
1274,0.0004778460
1275,0.0004778060
1276,0.0004770400
1277,0.0004753780
1278,0.0004730840
1279,0.0004702670
1280,0.0004671740
1281,0.0004642420
1282,0.0004617740
1283,0.0004600750
1284,0.0004594240
1285,0.0004594810
1286,0.0004607860
1287,0.0004631090
1288,0.0004656380
1289,0.0004686090
1290,0.0004716410
1291,0.0004745410
1292,0.0004774980
1293,0.0004804980
1294,0.0004839620
1295,0.0004886340
1296,0.0004947380
1297,0.0005028090
1298,0.0005139320
1299,0.0005275430
1300,0.0005433170
1301,0.0005620280
1302,0.0005824710
1303,0.0006039920
1304,0.0006261400
1305,0.0006471790
1306,0.0006664400
1307,0.0006830190
1308,0.0006960930
1309,0.0007057470
1310,0.0007110390
1311,0.0007139000
1312,0.0007127860
1313,0.0007091210
1314,0.0007026330
1315,0.0006938020
1316,0.0006848810
1317,0.0006739350
1318,0.0006585030
1319,0.0006408680
1320,0.0006210090
1321,0.0005996200
1322,0.0005780130
1323,0.0005544910
1324,0.0005320820
1325,0.0005101570
1326,0.0004897620
1327,0.0004713470
1328,0.0004548600
1329,0.0004410860
1330,0.0004304630
1331,0.0004226190
1332,0.0004172140
1333,0.0004137790
1334,0.0004110680
1335,0.0004064440
1336,0.0004015860
1337,0.0003921600
1338,0.0003793840
1339,0.0003634970
1340,0.0003456700
1341,0.0003283080
1342,0.0003283080
1343,0.0003128360
1344,0.0003007950
1345,0.0002936390
1346,0.0002918340
1347,0.0002961420
1348,0.0003019950
1349,0.0003113990
1350,0.0003219570
1351,0.0003326660
1352,0.0003426460
1353,0.0003517090
1354,0.0003599320
1355,0.0003671530
1356,0.0003739090
1357,0.0003805900
1358,0.0003875310
1359,0.0003948930
1360,0.0004024750
1361,0.0004099150
1362,0.0004169300
1363,0.0004231240
1364,0.0004281750
1365,0.0004320110
1366,0.0004345460
1367,0.0004358670
1368,0.0004360860
1369,0.0004351440
1370,0.0004334470
1371,0.0004308360
1372,0.0004272370
1373,0.0004226600
1374,0.0004169570
1375,0.0004102150
1376,0.0004026470
1377,0.0003945380
1378,0.0003861980
1379,0.0003778480
1380,0.0003696610
1381,0.0003617730
1382,0.0003546090
1383,0.0003480770
1384,0.0003425600
1385,0.0003382330
1386,0.0003351230
1387,0.0003336580
1388,0.0003335900
1389,0.0003345050
1390,0.0003360110
1391,0.0003377500
1392,0.0003392400
1393,0.0003401220
1394,0.0003402160
1395,0.0003394680
1396,0.0003383240
1397,0.0003371910
1398,0.0003367830
1399,0.0003381880
1400,0.0003413730
1401,0.0003467990
1402,0.0003553210
1403,0.0003675970
1404,0.0003837340
1405,0.0004035500
1406,0.0004264020
1407,0.0004514500
1408,0.0004772390
1409,0.0005018680
1410,0.0005234200
1411,0.0005398170
1412,0.0005484230
1413,0.0005482430
1414,0.0005393490
1415,0.0005223870
1416,0.0004988080
1417,0.0004708260
1418,0.0004410580
1419,0.0004123030
1420,0.0003867810
1421,0.0003662720
1422,0.0003516640
1423,0.0003427360
1424,0.0003384350
1425,0.0003379680
1426,0.0003401660
1427,0.0003437530
1428,0.0003476330
1429,0.0003509450
1430,0.0003530480
1431,0.0003536970
1432,0.0003530110
1433,0.0003513010
1434,0.0003487310
1435,0.0003455280
1436,0.0003421260
1437,0.0003391940
1438,0.0003371010
1439,0.0003361870
1440,0.0003363870
1441,0.0003374920
1442,0.0003392840
1443,0.0003416380
1444,0.0003445660
1445,0.0003478400
1446,0.0003510300
1447,0.0003538790
1448,0.0003563830
1449,0.0003584960
1450,0.0003598430
1451,0.0003603120
1452,0.0003596340
1453,0.0003578590
1454,0.0003553830
1455,0.0003525660
1456,0.0003499930
1457,0.0003479100
1458,0.0003462910
1459,0.0003453930
1460,0.0003453790
1461,0.0003461400
1462,0.0003472390
1463,0.0003486160
1464,0.0003499650
1465,0.0003511490
1466,0.0003521780
1467,0.0003529280
1468,0.0003537370
1469,0.0003544740
1470,0.0003551930
1471,0.0003562110
1472,0.0003575870
1473,0.0003593610
1474,0.0003613660
1475,0.0003636240
1476,0.0003657650
1477,0.0003674440
1478,0.0003682940
1479,0.0003680140
1480,0.0003666070
1481,0.0003637770
1482,0.0003598730
1483,0.0003550730
1484,0.0003496620
1485,0.0003439490
1486,0.0003387470
1487,0.0003341770
1488,0.0003305150
1489,0.0003277580
1490,0.0003257680
1491,0.0003248140
1492,0.0003243370
1493,0.0003242790
1494,0.0003251060
1495,0.0003266880
1496,0.0003291600
1497,0.0003326830
1498,0.0003369270
1499,0.0003420980
1500,0.0003479080
1501,0.0003538580
1502,0.0003597740
1503,0.0003658420
1504,0.0003722790
1505,0.0003794940
1506,0.0003876520
1507,0.0003966460
1508,0.0004064640
1509,0.0004168250
1510,0.0004271410
1511,0.0004365910
1512,0.0004450940
1513,0.0004523150
1514,0.0004584090
1515,0.0004638800
1516,0.0004692020
1517,0.0004752260
1518,0.0004821920
1519,0.0004906730
1520,0.0005012280
1521,0.0005136560
1522,0.0005272300
1523,0.0005413630
1524,0.0005558020
1525,0.0005697080
1526,0.0005826520
1527,0.0005940670
1528,0.0006036530
1529,0.0006115280
1530,0.0006173860
1531,0.0006218980
1532,0.0006251390
1533,0.0006262400
1534,0.0006246710
1535,0.0006202900
1536,0.0006131370
1537,0.0006034820
1538,0.0005922800
1539,0.0005799290
1540,0.0005673310
1541,0.0005552760
1542,0.0005442650
1543,0.0005349500
1544,0.0005268930
1545,0.0005191820
1546,0.0005113890
1547,0.0005030720
1548,0.0004938190
1549,0.0004836820
1550,0.0004728980
1551,0.0004608800
1552,0.0004474950
1553,0.0004327530
1554,0.0004168550
1555,0.0004002360
1556,0.0003834050
1557,0.0003670270
1558,0.0003519040
1559,0.0003386270
1560,0.0003276170
1561,0.0003192480
1562,0.0003133670
1563,0.0003090610
1564,0.0003057030
1565,0.0003029170
1566,0.0003003610
1567,0.0002977940
1568,0.0002954040
1569,0.0002932660
1570,0.0002914260
1571,0.0002899720
1572,0.0002889600
1573,0.0002883630
1574,0.0002880380
1575,0.0002878800
1576,0.0002881550
1577,0.0002891650
1578,0.0002910090
1579,0.0002938470
1580,0.0002982670
1581,0.0003044660
1582,0.0003126960
1583,0.0003230280
1584,0.0003353290
1585,0.0003494250
1586,0.0003652440
1587,0.0003826570
1588,0.0004013120
1589,0.0004206180
1590,0.0004398860
1591,0.0004584930
1592,0.0004758400
1593,0.0004911410
1594,0.0005036720
1595,0.0005126230
1596,0.0005175170
1597,0.0005183620
1598,0.0005154570
1599,0.0005092630
1600,0.0005003590
1601,0.0004897390
1602,0.0004784390
1603,0.0004672600
1604,0.0004569650
1605,0.0004481280
1606,0.0004408510
1607,0.0004350850
1608,0.0004307380
1609,0.0004275400
1610,0.0004246450
1611,0.0004213930
1612,0.0004172160
1613,0.0004118410
1614,0.0004049260
1615,0.0003962260
1616,0.0003861660
1617,0.0003749480
1618,0.0003628560
1619,0.0003505660
1620,0.0003386450
1621,0.0003274470
1622,0.0003169540
1623,0.0003075660
1624,0.0002994500
1625,0.0002926740
1626,0.0002872250
1627,0.0002830650
1628,0.0002802470
1629,0.0002782080
1630,0.0002767830
1631,0.0002758480
1632,0.0002750440
1633,0.0002742170
1634,0.0002733360
1635,0.0002726000
1636,0.0002720720
1637,0.0002717740
1638,0.0002718450
1639,0.0002722970
1640,0.0002729620
1641,0.0002736330
1642,0.0002742750
1643,0.0002746570
1644,0.0002746160
1645,0.0002742800
1646,0.0002739270
1647,0.0002737540
1648,0.0002739700
1649,0.0002750670
1650,0.0002759470
1651,0.0002779620
1652,0.0002805420
1653,0.0002836760
1654,0.0002869600
1655,0.0002900940
1656,0.0002900940
1657,0.0002926100
1658,0.0002943320
1659,0.0002951660
1660,0.0002950230
1661,0.0002942740
1662,0.0002929530
1663,0.0002916560
1664,0.0002910450
1665,0.0002913740
1666,0.0002933600
1667,0.0002961120
1668,0.0003006510
1669,0.0003064220
1670,0.0003134020
1671,0.0003214160
1672,0.0003289860
1673,0.0003368650
1674,0.0003467020
1675,0.0003574440
1676,0.0003695130
1677,0.0003830420
1678,0.0003970600
1679,0.0004123410
1680,0.0004273240
1681,0.0004426820
1682,0.0004581140
1683,0.0004732440
1684,0.0004880130
1685,0.0005027510
1686,0.0005183160
1687,0.0005357750
1688,0.0005557990
1689,0.0005785490
1690,0.0006027790
1691,0.0006281650
1692,0.0006549230
1693,0.0006833310
1694,0.0007110660
1695,0.0007370680
1696,0.0007606370
1697,0.0007814620
1698,0.0007995210
1699,0.0008146570
1700,0.0008262630
1701,0.0008336790
1702,0.0008361640
1703,0.0008347400
1704,0.0008303880
1705,0.0008239930
1706,0.0008146650
1707,0.0008037710
1708,0.0007921180
1709,0.0007802990
1710,0.0007691880
1711,0.0007583950
1712,0.0007475140
1713,0.0007356180
1714,0.0007224480
1715,0.0007081060
1716,0.0006928000
1717,0.0006772090
1718,0.0006617900
1719,0.0006480730
1720,0.0006375170
1721,0.0006316830
1722,0.0006319780
1723,0.0006381110
1724,0.0006496240
1725,0.0006645920
1726,0.0006811930
1727,0.0006966200
1728,0.0007085740
1729,0.0007153250
1730,0.0007154820
1731,0.0007090200
1732,0.0006970590
1733,0.0006808130
1734,0.0006618200
1735,0.0006414510
1736,0.0006208780
1737,0.0006002710
1738,0.0005793270
1739,0.0005571420
1740,0.0005334150
1741,0.0005078990
1742,0.0004808310
1743,0.0004533160
1744,0.0004263010
1745,0.0004005030
1746,0.0003771190
1747,0.0003572530
1748,0.0003412620
1749,0.0003288030
1750,0.0003190130
1751,0.0003110020
1752,0.0003040800
1753,0.0002976560
1754,0.0002917460
1755,0.0002862030
1756,0.0002805540
1757,0.0002747710
1758,0.0002692300
1759,0.0002642790
1760,0.0002599780
1761,0.0002560990
1762,0.0002523540
1763,0.0002485990
1764,0.0002448910
1765,0.0002415410
1766,0.0002388600
1767,0.0002365180
1768,0.0002344090
1769,0.0002327310
1770,0.0002316170
1771,0.0002310750
1772,0.0002309430
1773,0.0002307910
1774,0.0002303910
1775,0.0002295710
1776,0.0002284090
1777,0.0002270440
1778,0.0002254440
1779,0.0002234400
1780,0.0002213520
1781,0.0002194060
1782,0.0002176440
1783,0.0002161190
1784,0.0002148850
1785,0.0002137840
1786,0.0002128530
1787,0.0002120840
1788,0.0002117360
1789,0.0002118250
1790,0.0002123060
1791,0.0002131960
1792,0.0002145430
1793,0.0002161520
1794,0.0002175860
1795,0.0002186800
1796,0.0002192260
1797,0.0002188970
1798,0.0002177210
1799,0.0002158870
1800,0.0002136880
1801,0.0002112260
1802,0.0002088680
1803,0.0002069990
1804,0.0002058250
1805,0.0002052770
1806,0.0002051520
1807,0.0002055560
1808,0.0002063060
1809,0.0002072170
1810,0.0002081950
1811,0.0002090600
1812,0.0002095280
1813,0.0002094210
1814,0.0002088930
1815,0.0002080280
1816,0.0002068210
1817,0.0002051890
1818,0.0002033810
1819,0.0002017990
1820,0.0002006440
1821,0.0002000520
1822,0.0002000030
1823,0.0002003490
1824,0.0002009600
1825,0.0002018780
1826,0.0002031190
1827,0.0002044890
1828,0.0002057560
1829,0.0002067790
1830,0.0002077030
1831,0.0002085820
1832,0.0002094060
1833,0.0002100140
1834,0.0002102410
1835,0.0002099320
1836,0.0002092100
1837,0.0002083040
1838,0.0002071390
1839,0.0002056440
1840,0.0002038510
1841,0.0002019910
1842,0.0002003670
1843,0.0001992010
1844,0.0001985680
1845,0.0001982400
1846,0.0001979730
1847,0.0001975880
1848,0.0001971850
1849,0.0001967850
1850,0.0001961510
