wavenumber,EPDM
990,0.0001955370
991,0.0002035630
992,0.0002134730
993,0.0002245160
994,0.0002349530
995,0.0002451040
996,0.0002555140
997,0.0002663870
998,0.0002775410
999,0.0002897480
1000,0.0003037980
1001,0.0003205000
1002,0.0003400490
1003,0.0003645880
1004,0.0003948040
1005,0.0004289530
1006,0.0004644620
1007,0.0004981810
1008,0.0005269290
1009,0.0005490120
1010,0.0005640910
1011,0.0005766810
1012,0.0005925870
1013,0.0006145390
1014,0.0006431610
1015,0.0006753260
1016,0.0007076350
1017,0.0007342530
1018,0.0007503780
1019,0.0007576370
1020,0.0007595750
1021,0.0007589250
1022,0.0007586900
1023,0.0007619030
1024,0.0007719490
1025,0.0007841650
1026,0.0007931170
1027,0.0007959760
1028,0.0007894190
1029,0.0007739940
1030,0.0007533640
1031,0.0007344170
1032,0.0007225460
1033,0.0007155580
1034,0.0007107900
1035,0.0007071810
1036,0.0007038160
1037,0.0007035930
1038,0.0007087320
1039,0.0007191810
1040,0.0007302000
1041,0.0007343970
1042,0.0007286140
1043,0.0007154170
1044,0.0006994190
1045,0.0006868560
1046,0.0006806980
1047,0.0006777400
1048,0.0006708180
1049,0.0006559890
1050,0.0006364430
1051,0.0006183080
1052,0.0006067890
1053,0.0006047080
1054,0.0006110450
1055,0.0006181000
1056,0.0006167500
1057,0.0006047280
1058,0.0005861390
1059,0.0005647450
1060,0.0005439780
1061,0.0005261850
1062,0.0005138070
1063,0.0005049190
1064,0.0004967370
1065,0.0004896240
1066,0.0004849830
1067,0.0004813750
1068,0.0004769460
1069,0.0004699240
1070,0.0004614710
1071,0.0004529190
1072,0.0004464570
1073,0.0004443180
1074,0.0004484480
1075,0.0004590650
1076,0.0004745220
1077,0.0004918970
1078,0.0005097010
1079,0.0005267050
1080,0.0005421460
1081,0.0005550120
1082,0.0005664790
1083,0.0005770020
1084,0.0005864470
1085,0.0005955260
1086,0.0006046590
1087,0.0006125310
1088,0.0006178160
1089,0.0006202480
1090,0.0006224590
1091,0.0006240310
1092,0.0006245370
1093,0.0006259380
1094,0.0006292310
1095,0.0006332210
1096,0.0006366610
1097,0.0006393790
1098,0.0006432190
1099,0.0006473900
1100,0.0006494720
1101,0.0006486480
1102,0.0006446180
1103,0.0006358140
1104,0.0006207250
1105,0.0005994440
1106,0.0005747860
1107,0.0005509070
1108,0.0005289470
1109,0.0005100230
1110,0.0004955870
1111,0.0004844030
1112,0.0004727280
1113,0.0004581500
1114,0.0004403640
1115,0.0004217820
1116,0.0004028670
1117,0.0003846870
1118,0.0003691710
1119,0.0003560080
1120,0.0003417520
1121,0.0003254520
1122,0.0003077390
1123,0.0002904180
1124,0.0002742510
1125,0.0002604980
1126,0.0002507790
1127,0.0002441980
1128,0.0002373180
1129,0.0002297590
1130,0.0002217360
1131,0.0002134820
1132,0.0002051300
1133,0.0001974450
1134,0.0001912490
1135,0.0001860370
1136,0.0001808010
1137,0.0001763390
1138,0.0001730330
1139,0.0001711040
1140,0.0001703310
1141,0.0001705120
1142,0.0001710130
1143,0.0001711520
1144,0.0001701320
1145,0.0001680400
1146,0.0001653070
1147,0.0001627480
1148,0.0001606430
1149,0.0001595300
1150,0.0001593150
1151,0.0001597160
1152,0.0001599490
1153,0.0001601380
1154,0.0001604150
1155,0.0001608980
1156,0.0001613240
1157,0.0001618730
1158,0.0001623480
1159,0.0001623510
1160,0.0001617080
1161,0.0001610450
1162,0.0001606970
1163,0.0001607270
1164,0.0001610060
1165,0.0001615720
1166,0.0001623110
1167,0.0001625640
1168,0.0001621510
1169,0.0001612240
1170,0.0001600700
1171,0.0001583930
1172,0.0001560200
1173,0.0001531690
1174,0.0001502970
1175,0.0001475570
1176,0.0001456480
1177,0.0001451790
1178,0.0001466310
1179,0.0001491160
1180,0.0001516480
1181,0.0001534780
1182,0.0001541980
1183,0.0001537100
1184,0.0001526590
1185,0.0001517840
1186,0.0001519310
1187,0.0001529010
1188,0.0001543740
1189,0.0001558240
1190,0.0001568250
1191,0.0001570490
1192,0.0001564510
1193,0.0001552470
1194,0.0001540470
1195,0.0001532000
1196,0.0001530950
1197,0.0001537070
1198,0.0001549270
1199,0.0001562880
1200,0.0001570830
1201,0.0001570740
1202,0.0001563150
1203,0.0001551650
1204,0.0001542250
1205,0.0001537340
1206,0.0001538480
1207,0.0001543400
1208,0.0001546540
1209,0.0001545990
1210,0.0001539780
1211,0.0001530310
1212,0.0001521950
1213,0.0001516230
1214,0.0001514010
1215,0.0001514260
1216,0.0001514280
1217,0.0001510010
1218,0.0001499480
1219,0.0001486280
1220,0.0001477080
1221,0.0001475610
1222,0.0001482560
1223,0.0001496180
1224,0.0001510150
1225,0.0001512100
1226,0.0001497720
1227,0.0001469680
1228,0.0001437080
1229,0.0001407160
1230,0.0001384500
1231,0.0001372270
1232,0.0001366350
1233,0.0001358390
1234,0.0001347450
1235,0.0001333510
1236,0.0001318180
1237,0.0001298930
1238,0.0001269480
1239,0.0001226590
1240,0.0001166570
1241,0.0001093530
1242,0.0001019240
1243,0.0000955000
1244,0.0000912000
1245,0.0000893000
1246,0.0000893000
1247,0.0000907000
1248,0.0000933000
1249,0.0000976000
1250,0.0001045880
1251,0.0001153700
1252,0.0001310260
1253,0.0001521080
1254,0.0001778800
1255,0.0002070880
1256,0.0002378090
1257,0.0002684500
1258,0.0002961550
1259,0.0003181760
1260,0.0003318040
1261,0.0003346140
1262,0.0003247060
1263,0.0003023160
1264,0.0002700010
1265,0.0002324400
1266,0.0001940610
1267,0.0001593600
1268,0.0001313700
1269,0.0001108790
1270,0.0000968000
1271,0.0000874000
1272,0.0000808000
1273,0.0000756000
1274,0.0000706000
1275,0.0000657000
1276,0.0000614000
1277,0.0000583000
1278,0.0000567000
1279,0.0000567000
1280,0.0000580000
1281,0.0000601000
1282,0.0000620000
1283,0.0000632000
1284,0.0000637000
1285,0.0000640000
1286,0.0000648000
1287,0.0000666000
1288,0.0000697000
1289,0.0000737000
1290,0.0000780000
1291,0.0000819000
1292,0.0000851000
1293,0.0000877000
1294,0.0000898000
1295,0.0000913000
1296,0.0000922000
1297,0.0000924000
1298,0.0000915000
1299,0.0000899000
1300,0.0000878000
1301,0.0000859000
1302,0.0000845000
1303,0.0000839000
1304,0.0000837000
1305,0.0000838000
1306,0.0000837000
1307,0.0000830000
1308,0.0000818000
1309,0.0000799000
1310,0.0000779000
1311,0.0000762000
1312,0.0000753000
1313,0.0000752000
1314,0.0000758000
1315,0.0000767000
1316,0.0000771000
1317,0.0000767000
1318,0.0000751000
1319,0.0000728000
1320,0.0000702000
1321,0.0000678000
1322,0.0000662000
1323,0.0000654000
1324,0.0000651000
1325,0.0000647000
1326,0.0000638000
1327,0.0000625000
1328,0.0000608000
1329,0.0000593000
1330,0.0000586000
1331,0.0000589000
1332,0.0000601000
1333,0.0000614000
1334,0.0000622000
1335,0.0000622000
1336,0.0000608000
1337,0.0000595000
1338,0.0000577000
1339,0.0000563000
1340,0.0000560000
1341,0.0000560000
1342,0.0000567000
1343,0.0000584000
1344,0.0000612000
1345,0.0000648000
1346,0.0000692000
1347,0.0000740000
1348,0.0000789000
1349,0.0000837000
1350,0.0000881000
1351,0.0000915000
1352,0.0000940000
1353,0.0000961000
1354,0.0000981000
1355,0.0001004510
1356,0.0001033340
1357,0.0001067820
1358,0.0001105400
1359,0.0001141800
1360,0.0001176740
1361,0.0001211040
1362,0.0001243830
1363,0.0001275590
1364,0.0001305560
1365,0.0001333450
1366,0.0001364180
1367,0.0001406010
1368,0.0001473610
1369,0.0001579660
1370,0.0001727920
1371,0.0001910740
1372,0.0002106310
1373,0.0002282870
1374,0.0002408550
1375,0.0002455720
1376,0.0002413150
1377,0.0002282910
1378,0.0002081280
1379,0.0001833460
1380,0.0001571880
1381,0.0001324740
1382,0.0001116640
1383,0.0000961000
1384,0.0000861000
1385,0.0000812000
1386,0.0000800000
1387,0.0000809000
1388,0.0000830000
1389,0.0000849000
1390,0.0000862000
1391,0.0000867000
1392,0.0000864000
1393,0.0000855000
1394,0.0000842000
1395,0.0000830000
1396,0.0000826000
1397,0.0000830000
1398,0.0000844000
1399,0.0000862000
1400,0.0000880000
1401,0.0000891000
1402,0.0000891000
1403,0.0000882000
1404,0.0000866000
1405,0.0000850000
1406,0.0000841000
1407,0.0000842000
1408,0.0000851000
1409,0.0000864000
1410,0.0000877000
1411,0.0000885000
1412,0.0000880000
1413,0.0000863000
1414,0.0000837000
1415,0.0000806000
1416,0.0000775000
1417,0.0000750000
1418,0.0000733000
1419,0.0000722000
1420,0.0000713000
1421,0.0000705000
1422,0.0000695000
1423,0.0000683000
1424,0.0000672000
1425,0.0000665000
1426,0.0000665000
1427,0.0000671000
1428,0.0000685000
1429,0.0000707000
1430,0.0000736000
1431,0.0000770000
1432,0.0000805000
1433,0.0000839000
1434,0.0000869000
1435,0.0000895000
1436,0.0000920000
1437,0.0000945000
1438,0.0000975000
1439,0.0001010060
1440,0.0001050450
1441,0.0001097020
1442,0.0001149180
1443,0.0001206490
1444,0.0001268580
1445,0.0001335920
1446,0.0001408380
1447,0.0001488100
1448,0.0001578060
1449,0.0001680650
1450,0.0001793760
1451,0.0001910890
1452,0.0002024660
1453,0.0002128680
1454,0.0002220110
1455,0.0002304560
1456,0.0002391270
1457,0.0002484050
1458,0.0002580080
1459,0.0002670860
1460,0.0002745660
1461,0.0002791390
1462,0.0002798680
1463,0.0002764390
1464,0.0002684930
1465,0.0002553130
1466,0.0002365640
1467,0.0002130340
1468,0.0001863210
1469,0.0001585170
1470,0.0001321840
1471,0.0001095320
1472,0.0000916000
1473,0.0000782000
1474,0.0000688000
1475,0.0000626000
1476,0.0000589000
1477,0.0000570000
1478,0.0000562000
1479,0.0000562000
1480,0.0000567000
1481,0.0000571000
1482,0.0000576000
1483,0.0000583000
1484,0.0000591000
1485,0.0000600000
1486,0.0000604000
1487,0.0000603000
1488,0.0000595000
1489,0.0000580000
1490,0.0000564000
1491,0.0000549000
1492,0.0000538000
1493,0.0000535000
1494,0.0000539000
1495,0.0000551000
1496,0.0000569000
1497,0.0000591000
1498,0.0000615000
1499,0.0000634000
1500,0.0000646000
1501,0.0000651000
1502,0.0000650000
1503,0.0000647000
1504,0.0000646000
1505,0.0000649000
1506,0.0000657000
1507,0.0000670000
1508,0.0000683000
1509,0.0000697000
1510,0.0000709000
1511,0.0000724000
1512,0.0000740000
1513,0.0000760000
1514,0.0000786000
1515,0.0000820000
1516,0.0000855000
1517,0.0000888000
1518,0.0000917000
1519,0.0000943000
1520,0.0000969000
1521,0.0000998000
1522,0.0001035910
1523,0.0001084170
1524,0.0001135580
1525,0.0001185660
1526,0.0001232130
1527,0.0001272900
1528,0.0001305120
1529,0.0001328180
1530,0.0001343890
1531,0.0001351460
1532,0.0001349450
1533,0.0001339830
1534,0.0001323690
1535,0.0001300610
1536,0.0001270160
1537,0.0001235120
1538,0.0001197640
1539,0.0001158940
1540,0.0001121040
1541,0.0001085200
1542,0.0001051100
1543,0.0001018940
1544,0.0000991000
1545,0.0000970000
1546,0.0000956000
1547,0.0000946000
1548,0.0000941000
1549,0.0000937000
1550,0.0000933000
1551,0.0000930000
1552,0.0000926000
1553,0.0000919000
1554,0.0000903000
1555,0.0000878000
1556,0.0000850000
1557,0.0000823000
1558,0.0000806000
1559,0.0000802000
1560,0.0000810000
1561,0.0000819000
1562,0.0000820000
1563,0.0000811000
1564,0.0000795000
1565,0.0000777000
1566,0.0000764000
1567,0.0000760000
1568,0.0000764000
1569,0.0000770000
1570,0.0000773000
1571,0.0000772000
1572,0.0000769000
1573,0.0000765000
1574,0.0000764000
1575,0.0000765000
1576,0.0000770000
1577,0.0000778000
1578,0.0000789000
1579,0.0000802000
1580,0.0000816000
1581,0.0000828000
1582,0.0000834000
1583,0.0000834000
1584,0.0000829000
1585,0.0000825000
1586,0.0000825000
1587,0.0000834000
1588,0.0000849000
1589,0.0000863000
1590,0.0000871000
1591,0.0000869000
1592,0.0000859000
1593,0.0000845000
1594,0.0000836000
1595,0.0000835000
1596,0.0000845000
1597,0.0000864000
1598,0.0000889000
1599,0.0000914000
1600,0.0000935000
1601,0.0000949000
1602,0.0000957000
1603,0.0000958000
1604,0.0000953000
1605,0.0000940000
1606,0.0000922000
1607,0.0000899000
1608,0.0000871000
1609,0.0000842000
1610,0.0000814000
1611,0.0000788000
1612,0.0000765000
1613,0.0000743000
1614,0.0000727000
1615,0.0000716000
1616,0.0000709000
1617,0.0000707000
1618,0.0000708000
1619,0.0000708000
1620,0.0000705000
1621,0.0000700000
1622,0.0000694000
1623,0.0000688000
1624,0.0000682000
1625,0.0000679000
1626,0.0000677000
1627,0.0000675000
1628,0.0000675000
1629,0.0000677000
1630,0.0000681000
1631,0.0000685000
1632,0.0000689000
1633,0.0000692000
1634,0.0000693000
1635,0.0000692000
1636,0.0000691000
1637,0.0000694000
1638,0.0000704000
1639,0.0000723000
1640,0.0000750000
1641,0.0000781000
1642,0.0000806000
1643,0.0000821000
1644,0.0000823000
1645,0.0000816000
1646,0.0000810000
1647,0.0000809000
1648,0.0000818000
1649,0.0000832000
1650,0.0000838000
1651,0.0000839000
1652,0.0000823000
1653,0.0000797000
1654,0.0000769000
1655,0.0000769000
1656,0.0000745000
1657,0.0000728000
1658,0.0000715000
1659,0.0000699000
1660,0.0000682000
1661,0.0000662000
1662,0.0000644000
1663,0.0000627000
1664,0.0000613000
1665,0.0000599000
1666,0.0000586000
1667,0.0000575000
1668,0.0000568000
1669,0.0000568000
1670,0.0000572000
1671,0.0000578000
1672,0.0000583000
1673,0.0000582000
1674,0.0000581000
1675,0.0000579000
1676,0.0000579000
1677,0.0000581000
1678,0.0000584000
1679,0.0000582000
1680,0.0000578000
1681,0.0000571000
1682,0.0000564000
1683,0.0000559000
1684,0.0000557000
1685,0.0000561000
1686,0.0000567000
1687,0.0000574000
1688,0.0000584000
1689,0.0000595000
1690,0.0000605000
1691,0.0000614000
1692,0.0000621000
1693,0.0000628000
1694,0.0000629000
1695,0.0000627000
1696,0.0000626000
1697,0.0000627000
1698,0.0000633000
1699,0.0000647000
1700,0.0000667000
1701,0.0000691000
1702,0.0000711000
1703,0.0000721000
1704,0.0000722000
1705,0.0000714000
1706,0.0000703000
1707,0.0000694000
1708,0.0000693000
1709,0.0000700000
1710,0.0000711000
1711,0.0000725000
1712,0.0000737000
1713,0.0000745000
1714,0.0000749000
1715,0.0000754000
1716,0.0000763000
1717,0.0000776000
1718,0.0000792000
1719,0.0000810000
1720,0.0000827000
1721,0.0000839000
1722,0.0000847000
1723,0.0000851000
1724,0.0000851000
1725,0.0000846000
1726,0.0000840000
1727,0.0000833000
1728,0.0000826000
1729,0.0000817000
1730,0.0000807000
1731,0.0000792000
1732,0.0000772000
1733,0.0000750000
1734,0.0000729000
1735,0.0000711000
1736,0.0000700000
1737,0.0000694000
1738,0.0000693000
1739,0.0000692000
1740,0.0000692000
1741,0.0000695000
1742,0.0000698000
1743,0.0000703000
1744,0.0000713000
1745,0.0000729000
1746,0.0000748000
1747,0.0000770000
1748,0.0000794000
1749,0.0000816000
1750,0.0000827000
1751,0.0000829000
1752,0.0000821000
1753,0.0000803000
1754,0.0000774000
1755,0.0000739000
1756,0.0000705000
1757,0.0000673000
1758,0.0000648000
1759,0.0000632000
1760,0.0000626000
1761,0.0000627000
1762,0.0000629000
1763,0.0000633000
1764,0.0000637000
1765,0.0000637000
1766,0.0000633000
1767,0.0000626000
1768,0.0000619000
1769,0.0000611000
1770,0.0000605000
1771,0.0000603000
1772,0.0000606000
1773,0.0000612000
1774,0.0000616000
1775,0.0000615000
1776,0.0000610000
1777,0.0000603000
1778,0.0000591000
1779,0.0000581000
1780,0.0000574000
1781,0.0000572000
1782,0.0000573000
1783,0.0000575000
1784,0.0000578000
1785,0.0000579000
1786,0.0000576000
1787,0.0000570000
1788,0.0000561000
1789,0.0000554000
1790,0.0000551000
1791,0.0000553000
1792,0.0000563000
1793,0.0000575000
1794,0.0000584000
1795,0.0000587000
1796,0.0000581000
1797,0.0000569000
1798,0.0000556000
1799,0.0000545000
1800,0.0000538000
1801,0.0000536000
1802,0.0000539000
1803,0.0000545000
1804,0.0000552000
1805,0.0000560000
1806,0.0000570000
1807,0.0000579000
1808,0.0000585000
1809,0.0000589000
1810,0.0000594000
1811,0.0000600000
1812,0.0000609000
1813,0.0000620000
1814,0.0000633000
1815,0.0000648000
1816,0.0000661000
1817,0.0000671000
1818,0.0000679000
1819,0.0000684000
1820,0.0000687000
1821,0.0000687000
1822,0.0000687000
1823,0.0000691000
1824,0.0000697000
1825,0.0000708000
1826,0.0000722000
1827,0.0000738000
1828,0.0000754000
1829,0.0000766000
1830,0.0000774000
1831,0.0000779000
1832,0.0000779000
1833,0.0000778000
1834,0.0000775000
1835,0.0000773000
1836,0.0000771000
1837,0.0000767000
1838,0.0000760000
1839,0.0000751000
1840,0.0000739000
1841,0.0000728000
1842,0.0000717000
1843,0.0000706000
1844,0.0000695000
1845,0.0000680000
1846,0.0000663000
1847,0.0000644000
1848,0.0000620000
1849,0.0000620000
1850,0.0000625000
