wavenumber,PS
1079,0.0002670000
1080,0.0002640000
1081,0.0002620000
1082,0.0002600000
1083,0.0002580000
1084,0.0002570000
1085,0.0002560000
1086,0.0002550000
1087,0.0002550000
1088,0.0002550000
1089,0.0002560000
1090,0.0002560000
1091,0.0002570000
1092,0.0002570000
1093,0.0002580000
1094,0.0002580000
1095,0.0002590000
1096,0.0002590000
1097,0.0002590000
1098,0.0002600000
1099,0.0002600000
1100,0.0002600000
1101,0.0002610000
1102,0.0002610000
1103,0.0002610000
1104,0.0002610000
1105,0.0002620000
1106,0.0002620000
1107,0.0002610000
1108,0.0002610000
1109,0.0002610000
1110,0.0002600000
1111,0.0002590000
1112,0.0002580000
1113,0.0002560000
1114,0.0002540000
1115,0.0002520000
1116,0.0002500000
1117,0.0002480000
1118,0.0002460000
1119,0.0002430000
1120,0.0002410000
1121,0.0002390000
1122,0.0002370000
1123,0.0002350000
1124,0.0002330000
1125,0.0002320000
1126,0.0002310000
1127,0.0002300000
1128,0.0002300000
1129,0.0002300000
1130,0.0002290000
1131,0.0002290000
1132,0.0002300000
1133,0.0002300000
1134,0.0002300000
1135,0.0002300000
1136,0.0002310000
1137,0.0002310000
1138,0.0002310000
1139,0.0002320000
1140,0.0002320000
1141,0.0002330000
1142,0.0002340000
1143,0.0002350000
1144,0.0002360000
1145,0.0002380000
1146,0.0002400000
1147,0.0002420000
1148,0.0002440000
1149,0.0002460000
1150,0.0002480000
1151,0.0002490000
1152,0.0002510000
1153,0.0002510000
1154,0.0002520000
1155,0.0002510000
1156,0.0002510000
1157,0.0002490000
1158,0.0002470000
1159,0.0002440000
1160,0.0002420000
1161,0.0002390000
1162,0.0002360000
1163,0.0002330000
1164,0.0002310000
1165,0.0002290000
1166,0.0002280000
1167,0.0002270000
1168,0.0002270000
1169,0.0002280000
1170,0.0002300000
1171,0.0002320000
1172,0.0002340000
1173,0.0002370000
1174,0.0002400000
1175,0.0002430000
1176,0.0002470000
1177,0.0002490000
1178,0.0002520000
1179,0.0002540000
1180,0.0002550000
1181,0.0002560000
1182,0.0002560000
1183,0.0002560000
1184,0.0002560000
1185,0.0002550000
1186,0.0002540000
1187,0.0002520000
1188,0.0002510000
1189,0.0002500000
1190,0.0002490000
1191,0.0002480000
1192,0.0002470000
1193,0.0002470000
1194,0.0002460000
1195,0.0002460000
1196,0.0002460000
1197,0.0002450000
1198,0.0002450000
1199,0.0002440000
1200,0.0002440000
1201,0.0002430000
1202,0.0002420000
1203,0.0002420000
1204,0.0002410000
1205,0.0002410000
1206,0.0002400000
1207,0.0002400000
1208,0.0002400000
1209,0.0002400000
1210,0.0002410000
1211,0.0002410000
1212,0.0002410000
1213,0.0002420000
1214,0.0002420000
1215,0.0002420000
1216,0.0002430000
1217,0.0002430000
1218,0.0002430000
1219,0.0002420000
1220,0.0002420000
1221,0.0002420000
1222,0.0002420000
1223,0.0002410000
1224,0.0002410000
1225,0.0002400000
1226,0.0002400000
1227,0.0002390000
1228,0.0002380000
1229,0.0002380000
1230,0.0002370000
1231,0.0002360000
1232,0.0002350000
1233,0.0002340000
1234,0.0002340000
1235,0.0002330000
1236,0.0002320000
1237,0.0002310000
1238,0.0002310000
1239,0.0002300000
1240,0.0002300000
1241,0.0002290000
1242,0.0002290000
1243,0.0002290000
1244,0.0002290000
1245,0.0002300000
1246,0.0002300000
1247,0.0002310000
1248,0.0002310000
1249,0.0002320000
1250,0.0002340000
1251,0.0002350000
1252,0.0002370000
1253,0.0002390000
1254,0.0002410000
1255,0.0002440000
1256,0.0002470000
1257,0.0002500000
1258,0.0002530000
1259,0.0002550000
1260,0.0002580000
1261,0.0002600000
1262,0.0002620000
1263,0.0002640000
1264,0.0002650000
1265,0.0002660000
1266,0.0002670000
1267,0.0002670000
1268,0.0002670000
1269,0.0002660000
1270,0.0002650000
1271,0.0002650000
1272,0.0002640000
1273,0.0002630000
1274,0.0002620000
1275,0.0002610000
1276,0.0002600000
1277,0.0002580000
1278,0.0002570000
1279,0.0002560000
1280,0.0002540000
1281,0.0002530000
1282,0.0002520000
1283,0.0002500000
1284,0.0002490000
1285,0.0002490000
1286,0.0002480000
1287,0.0002480000
1288,0.0002480000
1289,0.0002490000
1290,0.0002500000
1291,0.0002510000
1292,0.0002530000
1293,0.0002560000
1294,0.0002580000
1295,0.0002610000
1296,0.0002640000
1297,0.0002660000
1298,0.0002690000
1299,0.0002720000
1300,0.0002750000
1301,0.0002780000
1302,0.0002800000
1303,0.0002830000
1304,0.0002850000
1305,0.0002860000
1306,0.0002880000
1307,0.0002890000
1308,0.0002900000
1309,0.0002910000
1310,0.0002910000
1311,0.0002910000
1312,0.0002910000
1313,0.0002910000
1314,0.0002910000
1315,0.0002910000
1316,0.0002920000
1317,0.0002920000
1318,0.0002920000
1319,0.0002930000
1320,0.0002940000
1321,0.0002950000
1322,0.0002960000
1323,0.0002970000
1324,0.0002980000
1325,0.0002990000
1326,0.0003000000
1327,0.0003000000
1328,0.0003000000
1329,0.0002990000
1330,0.0002990000
1331,0.0002980000
1332,0.0002970000
1333,0.0002960000
1334,0.0002940000
1335,0.0002930000
1336,0.0002920000
1337,0.0002920000
1338,0.0002910000
1339,0.0002910000
1340,0.0002910000
1341,0.0002920000
1342,0.0002920000
1343,0.0002930000
1344,0.0002940000
1345,0.0002960000
1346,0.0002970000
1347,0.0002990000
1348,0.0003000000
1349,0.0003020000
1350,0.0003030000
1351,0.0003030000
1352,0.0003050000
1353,0.0003060000
1354,0.0003080000
1355,0.0003090000
1356,0.0003100000
1357,0.0003120000
1358,0.0003130000
1359,0.0003140000
1360,0.0003150000
1361,0.0003160000
1362,0.0003170000
1363,0.0003180000
1364,0.0003180000
1365,0.0003190000
1366,0.0003200000
1367,0.0003200000
1368,0.0003210000
1369,0.0003210000
1370,0.0003210000
1371,0.0003220000
1372,0.0003220000
1373,0.0003220000
1374,0.0003210000
1375,0.0003210000
1376,0.0003210000
1377,0.0003200000
1378,0.0003190000
1379,0.0003180000
1380,0.0003160000
1381,0.0003140000
1382,0.0003120000
1383,0.0003090000
1384,0.0003070000
1385,0.0003040000
1386,0.0003010000
1387,0.0002980000
1388,0.0002960000
1389,0.0002940000
1390,0.0002910000
1391,0.0002900000
1392,0.0002880000
1393,0.0002870000
1394,0.0002860000
1395,0.0002850000
1396,0.0002850000
1397,0.0002850000
1398,0.0002850000
1399,0.0002850000
1400,0.0002850000
1401,0.0002850000
1402,0.0002850000
1403,0.0002850000
1404,0.0002850000
1405,0.0002850000
1406,0.0002850000
1407,0.0002850000
1408,0.0002850000
1409,0.0002850000
1410,0.0002840000
1411,0.0002840000
1412,0.0002830000
1413,0.0002830000
1414,0.0002820000
1415,0.0002810000
1416,0.0002810000
1417,0.0002800000
1418,0.0002800000
1419,0.0002800000
1420,0.0002800000
1421,0.0002800000
1422,0.0002800000
1423,0.0002810000
1424,0.0002820000
1425,0.0002840000
1426,0.0002860000
1427,0.0002880000
1428,0.0002910000
1429,0.0002950000
1430,0.0002990000
1431,0.0003040000
1432,0.0003110000
1433,0.0003190000
1434,0.0003290000
1435,0.0003410000
1436,0.0003550000
1437,0.0003720000
1438,0.0003910000
1439,0.0004130000
1440,0.0004360000
1441,0.0004610000
1442,0.0004880000
1443,0.0005140000
1444,0.0005400000
1445,0.0005630000
1446,0.0005830000
1447,0.0005980000
1448,0.0006080000
1449,0.0006110000
1450,0.0006070000
1451,0.0005970000
1452,0.0005800000
1453,0.0005590000
1454,0.0005330000
1455,0.0005030000
1456,0.0004720000
1457,0.0004400000
1458,0.0004090000
1459,0.0003800000
1460,0.0003540000
1461,0.0003320000
1462,0.0003140000
1463,0.0003010000
1464,0.0002910000
1465,0.0002850000
1466,0.0002820000
1467,0.0002800000
1468,0.0002790000
1469,0.0002790000
1470,0.0002790000
1471,0.0002790000
1472,0.0002790000
1473,0.0002800000
1474,0.0002810000
1475,0.0002840000
1476,0.0002890000
1477,0.0002970000
1478,0.0003080000
1479,0.0003240000
1480,0.0003450000
1481,0.0003710000
1482,0.0004000000
1483,0.0004340000
1484,0.0004690000
1485,0.0005050000
1486,0.0005400000
1487,0.0005720000
1488,0.0005990000
1489,0.0006190000
1490,0.0006320000
1491,0.0006370000
1492,0.0006330000
1493,0.0006210000
1494,0.0006010000
1495,0.0005750000
1496,0.0005430000
1497,0.0005090000
1498,0.0004730000
1499,0.0004380000
1500,0.0004040000
1501,0.0003750000
1502,0.0003490000
1503,0.0003290000
1504,0.0003130000
1505,0.0003020000
1506,0.0002950000
1507,0.0002920000
1508,0.0002900000
1509,0.0002910000
1510,0.0002930000
1511,0.0002950000
1512,0.0002970000
1513,0.0002980000
1514,0.0003000000
1515,0.0003000000
1516,0.0003000000
1517,0.0002990000
1518,0.0002980000
1519,0.0002970000
1520,0.0002960000
1521,0.0002960000
1522,0.0002960000
1523,0.0002970000
1524,0.0002980000
1525,0.0002980000
1526,0.0003000000
1527,0.0003010000
1528,0.0003020000
1529,0.0003030000
1530,0.0003040000
1531,0.0003050000
1532,0.0003050000
1533,0.0003040000
1534,0.0003040000
1535,0.0003020000
1536,0.0003010000
1537,0.0003000000
1538,0.0002980000
1539,0.0002970000
1540,0.0002960000
1541,0.0002950000
1542,0.0002950000
1543,0.0002950000
1544,0.0002950000
1545,0.0002960000
1546,0.0002970000
1547,0.0002990000
1548,0.0003000000
1549,0.0003020000
1550,0.0003030000
1551,0.0003040000
1552,0.0003040000
1553,0.0003040000
1554,0.0003040000
1555,0.0003030000
1556,0.0003020000
1557,0.0003000000
1558,0.0002990000
1559,0.0002970000
1560,0.0002950000
1561,0.0002940000
1562,0.0002920000
1563,0.0002910000
1564,0.0002900000
1565,0.0002890000
1566,0.0002890000
1567,0.0002890000
1568,0.0002890000
1569,0.0002900000
1570,0.0002910000
1571,0.0002930000
1572,0.0002950000
1573,0.0002970000
1574,0.0002990000
1575,0.0003010000
1576,0.0003030000
1577,0.0003040000
1578,0.0003050000
1579,0.0003060000
1580,0.0003060000
1581,0.0003050000
1582,0.0003050000
1583,0.0003050000
1584,0.0003070000
1585,0.0003090000
1586,0.0003130000
1587,0.0003190000
1588,0.0003270000
1589,0.0003370000
1590,0.0003500000
1591,0.0003640000
1592,0.0003800000
1593,0.0003970000
1594,0.0004140000
1595,0.0004290000
1596,0.0004420000
1597,0.0004520000
1598,0.0004590000
1599,0.0004610000
1600,0.0004600000
1601,0.0004540000
1602,0.0004440000
1603,0.0004320000
1604,0.0004160000
1605,0.0003990000
1606,0.0003810000
1607,0.0003620000
1608,0.0003450000
1609,0.0003300000
1610,0.0003160000
1611,0.0003050000
1612,0.0002960000
1613,0.0002900000
1614,0.0002860000
1615,0.0002840000
1616,0.0002840000
1617,0.0002850000
1618,0.0002860000
1619,0.0002880000
1620,0.0002900000
1621,0.0002920000
1622,0.0002940000
1623,0.0002950000
1624,0.0002960000
1625,0.0002970000
1626,0.0002970000
1627,0.0002960000
1628,0.0002960000
1629,0.0002950000
1630,0.0002950000
1631,0.0002940000
1632,0.0002940000
1633,0.0002930000
1634,0.0002930000
1635,0.0002930000
1636,0.0002930000
1637,0.0002940000
1638,0.0002940000
1639,0.0002950000
1640,0.0002960000
1641,0.0002970000
1642,0.0002980000
1643,0.0002990000
1644,0.0002990000
1645,0.0003000000
1646,0.0003000000
1647,0.0003000000
1648,0.0003000000
1649,0.0003000000
1650,0.0002990000
1651,0.0002990000
1652,0.0002990000
1653,0.0003000000
1654,0.0003000000
1655,0.0003010000
1656,0.0003020000
1657,0.0003030000
1658,0.0003050000
1659,0.0003060000
1660,0.0003070000
1661,0.0003070000
1662,0.0003070000
1663,0.0003080000
1664,0.0003080000
1665,0.0003080000
1666,0.0003070000
1667,0.0003060000
1668,0.0003050000
1669,0.0003040000
1670,0.0003030000
1671,0.0003010000
1672,0.0003000000
1673,0.0002990000
1674,0.0002990000
1675,0.0002980000
1676,0.0002980000
1677,0.0002980000
1678,0.0002980000
1679,0.0002980000
1680,0.0002980000
1681,0.0002990000
1682,0.0002990000
1683,0.0003000000
1684,0.0003010000
1685,0.0003030000
1686,0.0003040000
1687,0.0003060000
1688,0.0003070000
1689,0.0003090000
1690,0.0003110000
1691,0.0003120000
1692,0.0003130000
1693,0.0003130000
1694,0.0003130000
1695,0.0003120000
1696,0.0003110000
1697,0.0003090000
1698,0.0003070000
1699,0.0003050000
1700,0.0003030000
1701,0.0003010000
1702,0.0002990000
1703,0.0002980000
1704,0.0002970000
1705,0.0002970000
1706,0.0002970000
1707,0.0002980000
1708,0.0003000000
1709,0.0003010000
1710,0.0003030000
1711,0.0003050000
1712,0.0003060000
1713,0.0003080000
1714,0.0003090000
1715,0.0003100000
1716,0.0003110000
1717,0.0003110000
1718,0.0003120000
1719,0.0003120000
1720,0.0003120000
1721,0.0003130000
1722,0.0003130000
1723,0.0003140000
1724,0.0003150000
1725,0.0003160000
1726,0.0003170000
1727,0.0003180000
1728,0.0003190000
1729,0.0003190000
1730,0.0003200000
1731,0.0003200000
1732,0.0003200000
1733,0.0003190000
1734,0.0003180000
1735,0.0003170000
1736,0.0003160000
1737,0.0003150000
1738,0.0003130000
1739,0.0003120000
1740,0.0003110000
1741,0.0003100000
1742,0.0003090000
1743,0.0003080000
1744,0.0003070000
1745,0.0003060000
1746,0.0003050000
1747,0.0003040000
1748,0.0003030000
1749,0.0003020000
1750,0.0003020000
1751,0.0003020000
1752,0.0003020000
1753,0.0003020000
1754,0.0003020000
1755,0.0003030000
1756,0.0003040000
1757,0.0003050000
1758,0.0003070000
1759,0.0003080000
1760,0.0003100000
1761,0.0003120000
1762,0.0003130000
1763,0.0003140000
1764,0.0003150000
1765,0.0003150000
1766,0.0003150000
1767,0.0003140000
1768,0.0003140000
1769,0.0003130000
1770,0.0003120000
1771,0.0003110000
1772,0.0003100000
1773,0.0003090000
1774,0.0003080000
1775,0.0003080000
1776,0.0003070000
1777,0.0003070000
1778,0.0003080000
1779,0.0003080000
1780,0.0003090000
1781,0.0003100000
1782,0.0003100000
1783,0.0003110000
1784,0.0003110000
1785,0.0003110000
1786,0.0003120000
1787,0.0003120000
1788,0.0003120000
1789,0.0003120000
1790,0.0003130000
1791,0.0003130000
1792,0.0003130000
1793,0.0003130000
1794,0.0003140000
1795,0.0003140000
1796,0.0003150000
1797,0.0003150000
1798,0.0003160000
1799,0.0003170000
1800,0.0003170000
1801,0.0003170000
1802,0.0003170000
1803,0.0003180000
1804,0.0003180000
1805,0.0003180000
1806,0.0003180000
1807,0.0003180000
1808,0.0003190000
1809,0.0003190000
1810,0.0003200000
1811,0.0003210000
1812,0.0003210000
1813,0.0003220000
1814,0.0003230000
1815,0.0003230000
1816,0.0003240000
1817,0.0003240000
1818,0.0003250000
1819,0.0003250000
1820,0.0003250000
1821,0.0003250000
1822,0.0003250000
1823,0.0003250000
1824,0.0003250000
1825,0.0003250000
1826,0.0003250000
1827,0.0003260000
1828,0.0003260000
1829,0.0003260000
1830,0.0003270000
1831,0.0003270000
1832,0.0003280000
1833,0.0003290000
1834,0.0003290000
1835,0.0003300000
1836,0.0003300000
1837,0.0003310000
1838,0.0003310000
1839,0.0003310000
1840,0.0003300000
1841,0.0003300000
1842,0.0003290000
1843,0.0003280000
1844,0.0003260000
1845,0.0003240000
1846,0.0003220000
1847,0.0003200000
1848,0.0003180000
1849,0.0003160000
1850,0.0003140000
