wavenumber,sample
1353,0.000090600
1354,0.000085000
1355,0.000077600
1356,0.000070400
1357,0.000064600
1358,0.000061800
1359,0.000063200
1360,0.000067600
1361,0.000073800
1362,0.000079600
1363,0.000084600
1364,0.000088500
1365,0.000090700
1366,0.000092700
1367,0.000094800
1368,0.000096300
1369,0.000097400
1370,0.000097800
1371,0.000098700
1372,0.000101000
1373,0.000105000
1374,0.000112000
1375,0.000120000
1376,0.000126000
1377,0.000131000
1378,0.000132000
1379,0.000130000
1380,0.000126000
1381,0.000122000
1382,0.000119000
1383,0.000116000
1384,0.000113000
1385,0.000111000
1386,0.000108000
1387,0.000105000
1388,0.000103000
1389,0.000101000
1390,0.000102000
1391,0.000104000
1392,0.000107000
1393,0.000110000
1394,0.000111000
1395,0.000110000
1396,0.000106000
1397,0.000102000
1398,0.000097900
1399,0.000094900
1400,0.000094300
1401,0.000095700
1402,0.000098200
1403,0.000100000
1404,0.000102000
1405,0.000102000
1406,0.000101000
1407,0.000098500
1408,0.000096700
1409,0.000095400
1410,0.000093900
1411,0.000092000
1412,0.000090400
1413,0.000089100
1414,0.000088300
1415,0.000088200
1416,0.000089600
1417,0.000092600
1418,0.000095400
1419,0.000098100
1420,0.000101000
1421,0.000102000
1422,0.000102000
1423,0.000102000
1424,0.000102000
1425,0.000104000
1426,0.000108000
1427,0.000114000
1428,0.000119000
1429,0.000122000
1430,0.000122000
1431,0.000119000
1432,0.000116000
1433,0.000114000
1434,0.000115000
1435,0.000117000
1436,0.000122000
1437,0.000129000
1438,0.000137000
1439,0.000145000
1440,0.000153000
1441,0.000162000
1442,0.000171000
1443,0.000178000
1444,0.000185000
1445,0.000192000
1446,0.000197000
1447,0.000203000
1448,0.000211000
1449,0.000224000
1450,0.000245000
1451,0.000273000
1452,0.000304000
1453,0.000330000
1454,0.000343000
1455,0.000338000
1456,0.000314000
1457,0.000279000
1458,0.000241000
1459,0.000210000
1460,0.000191000
1461,0.000183000
1462,0.000183000
1463,0.000183000
1464,0.000181000
1465,0.000176000
1466,0.000171000
1467,0.000168000
1468,0.000167000
1469,0.000168000
1470,0.000167000
1471,0.000164000
1472,0.000158000
1473,0.000150000
1474,0.000142000
1475,0.000136000
1476,0.000134000
1477,0.000133000
1478,0.000134000
1479,0.000134000
1480,0.000135000
1481,0.000135000
1482,0.000136000
1483,0.000139000
1484,0.000143000
1485,0.000146000
1486,0.000147000
1487,0.000145000
1488,0.000143000
1489,0.000144000
1490,0.000150000
1491,0.000166000
1492,0.000189000
1493,0.000216000
1494,0.000238000
1495,0.000247000
1496,0.000240000
1497,0.000218000
1498,0.000184000
1499,0.000149000
1500,0.000119000
1501,0.000099600
1502,0.000090100
1503,0.000088700
1504,0.000091400
1505,0.000094300
1506,0.000094700
1507,0.000092600
1508,0.000089400
1509,0.000086200
1510,0.000084600
1511,0.000085000
1512,0.000086700
1513,0.000088300
1514,0.000088800
1515,0.000088900
1516,0.000089000
1517,0.000089300
1518,0.000090000
1519,0.000090700
1520,0.000089600
1521,0.000086100
1522,0.000080400
1523,0.000073700
1524,0.000066600
1525,0.000059900
1526,0.000055000
1527,0.000052700
1528,0.000052700
1529,0.000054400
1530,0.000057000
1531,0.000059300
1532,0.000059800
1533,0.000058900
1534,0.000058300
1535,0.000059700
1536,0.000063500
1537,0.000069400
1538,0.000075500
1539,0.000080000
1540,0.000081900
1541,0.000081300
1542,0.000080400
1543,0.000080700
1544,0.000082800
1545,0.000087000
1546,0.000092300
1547,0.000098100
1548,0.000103000
1549,0.000107000
1550,0.000110000
1551,0.000111000
1552,0.000111000
1553,0.000110000
1554,0.000109000
1555,0.000107000
1556,0.000104000
1557,0.000100000
1558,0.000095400
1559,0.000090400
1560,0.000087400
1561,0.000087700
1562,0.000092000
1563,0.000098300
1564,0.000104000
1565,0.000108000
1566,0.000107000
1567,0.000103000
1568,0.000095400
1569,0.000087500
1570,0.000081500
1571,0.000078200
1572,0.000078500
1573,0.000082100
1574,0.000087500
1575,0.000091200
1576,0.000091500
1577,0.000088800
1578,0.000085000
1579,0.000082600
1580,0.000084800
1581,0.000092500
1582,0.000104000
1583,0.000114000
1584,0.000119000
1585,0.000118000
1586,0.000113000
1587,0.000107000
1588,0.000102000
1589,0.000101000
1590,0.000102000
1591,0.000103000
1592,0.000103000
1593,0.000101000
1594,0.000099000
1595,0.000097900
1596,0.000098800
1597,0.000101000
1598,0.000104000
1599,0.000106000
1600,0.000107000
1601,0.000106000
1602,0.000105000
1603,0.000106000
1604,0.000108000
1605,0.000111000
1606,0.000112000
1607,0.000111000
1608,0.000104000
1609,0.000092300
1610,0.000077400
1611,0.000063100
1612,0.000053100
1613,0.000048400
1614,0.000049200
1615,0.000054200
1616,0.000061400
1617,0.000069300
1618,0.000075300
1619,0.000079900
1620,0.000082400
1621,0.000081700
1622,0.000078000
1623,0.000072800
1624,0.000067600
1625,0.000064300
1626,0.000062000
1627,0.000062300
1628,0.000064600
1629,0.000068000
1630,0.000072900
1631,0.000080400
1632,0.000091100
1633,0.000104000
1634,0.000117000
1635,0.000128000
1636,0.000137000
1637,0.000141000
1638,0.000143000
1639,0.000145000
1640,0.000149000
1641,0.000154000
1642,0.000159000
1643,0.000163000
1644,0.000165000
1645,0.000164000
1646,0.000162000
1647,0.000161000
1648,0.000164000
1649,0.000169000
1650,0.000175000
1651,0.000178000
1652,0.000176000
1653,0.000169000
1654,0.000159000
1655,0.000153000
1656,0.000154000
1657,0.000163000
1658,0.000177000
1659,0.000191000
1660,0.000199000
1661,0.000201000
1662,0.000199000
1663,0.000197000
1664,0.000199000
1665,0.000206000
1666,0.000216000
1667,0.000225000
1668,0.000230000
1669,0.000232000
1670,0.000233000
1671,0.000235000
1672,0.000240000
1673,0.000246000
1674,0.000250000
1675,0.000252000
1676,0.000251000
1677,0.000252000
1678,0.000258000
1679,0.000268000
1680,0.000282000
1681,0.000291000
1682,0.000291000
1683,0.000282000
1684,0.000268000
1685,0.000257000
1686,0.000256000
1687,0.000266000
1688,0.000287000
1689,0.000313000
1690,0.000337000
1691,0.000355000
1692,0.000365000
1693,0.000368000
1694,0.000366000
1695,0.000361000
1696,0.000358000
1697,0.000359000
1698,0.000364000
1699,0.000375000
1700,0.000389000
1701,0.000407000
1702,0.000426000
1703,0.000445000
1704,0.000464000
1705,0.000482000
1706,0.000499000
1707,0.000511000
1708,0.000521000
1709,0.000531000
1710,0.000542000
1711,0.000554000
1712,0.000569000
1713,0.000584000
1714,0.000597000
1715,0.000607000
1716,0.000610000
1717,0.000608000
1718,0.000603000
1719,0.000595000
1720,0.000585000
1721,0.000574000
1722,0.000564000
1723,0.000555000
1724,0.000546000
1725,0.000540000
1726,0.000537000
1727,0.000540000
1728,0.000548000
1729,0.000561000
1730,0.000578000
1731,0.000597000
1732,0.000615000
1733,0.000630000
1734,0.000641000
1735,0.000648000
1736,0.000650000
1737,0.000646000
1738,0.000638000
1739,0.000628000
1740,0.000615000
1741,0.000603000
1742,0.000592000
1743,0.000584000
1744,0.000577000
1745,0.000573000
1746,0.000570000
1747,0.000567000
1748,0.000563000
1749,0.000556000
1750,0.000542000
1751,0.000524000
1752,0.000504000
1753,0.000484000
1754,0.000468000
1755,0.000457000
1756,0.000449000
1757,0.000443000
1758,0.000437000
1759,0.000428000
1760,0.000418000
1761,0.000405000
1762,0.000391000
1763,0.000379000
1764,0.000372000
1765,0.000371000
1766,0.000374000
1767,0.000379000
1768,0.000381000
1769,0.000374000
1770,0.000360000
1771,0.000341000
1772,0.000324000
1773,0.000313000
1774,0.000312000
1775,0.000319000
1776,0.000328000
1777,0.000333000
1778,0.000329000
1779,0.000319000
1780,0.000307000
1781,0.000298000
1782,0.000295000
1783,0.000296000
1784,0.000300000
1785,0.000302000
1786,0.000301000
1787,0.000296000
1788,0.000291000
1789,0.000288000
1790,0.000287000
1791,0.000287000
1792,0.000287000
1793,0.000286000
1794,0.000286000
1795,0.000286000
1796,0.000289000
1797,0.000295000
1798,0.000302000
1799,0.000305000
1800,0.000303000
1801,0.000294000
1802,0.000276000
1803,0.000253000
1804,0.000226000
1805,0.000201000
1806,0.000179000
1807,0.000162000
1808,0.000150000
1809,0.000142000
1810,0.000137000
1811,0.000136000
1812,0.000139000
1813,0.000145000
1814,0.000155000
1815,0.000168000
1816,0.000181000
1817,0.000194000
1818,0.000206000
1819,0.000217000
1820,0.000226000
1821,0.000232000
1822,0.000232000
1823,0.000227000
1824,0.000216000
1825,0.000201000
1826,0.000186000
1827,0.000171000
1828,0.000158000
1829,0.000147000
1830,0.000138000
1831,0.000130000
1832,0.000123000
1833,0.000119000
1834,0.000118000
1835,0.000120000
1836,0.000123000
1837,0.000126000
1838,0.000128000
1839,0.000131000
1840,0.000134000
1841,0.000137000
1842,0.000140000
1843,0.000141000
1844,0.000141000
1845,0.000140000
1846,0.000137000
1847,0.000135000
1848,0.000135000
1849,0.000136000
1850,0.000139000
